NRIC,School,Programme,Gender,PCHI,Flat_Type,2014_Result,2015_Result,PSLE_Result
T0401009J,Play Hard Primary School,PASS,F,434.0,OWNED,7.64,17.0,E
T0401624G,Normal Primary School,EXCEL,F,386.0,OWNED,26.98,45.17,D
T0401716B,Play Hard Primary School,EXCEL,F,424.0,OWNED,14.86,16.58,E
T0401772I,Normal Primary School,PASS,F,357.0,OWNED,29.74,36.89,D
T0401822H,Normal Primary School,PASS,M,147.0,RENTAL,16.39,18.25,U
T0402018D,Play Hard Primary School,PASS,F,911.0,OWNED,12.99,33.99136363636362,
T0402185Z,Play Hard Primary School,PASS,F,368.0,OWNED,23.04,12.64,E
T0402310E,Play Hard Primary School,EXCEL,F,532.0,OWNED,23.85,35.8,C
T0402468D,Kiasu Parents Primary School,PASS,M,0.0,RENTAL,21.39,20.73,D
T0402514I,Play Hard Primary School,EXCEL,F,505.0,OWNED,6.8,55.41,B
T0403422B,Play Hard Primary School,PASS,M,660.0,OWNED,31.16,23.12,E
T0403423B,Normal Primary School,PASS,F,856.0,OWNED,23.05,37.98,D
T0403815I,Normal Primary School,PASS,F,0.0,RENTAL,42.7,52.99,B
T0403843Z,Play Hard Primary School,PASS,M,431.0,OWNED,12.36,19.72,U
T0404094C,Kiasu Parents Primary School,EXCEL,F,0.0,RENTAL,47.23,56.51,B
T0404191A,Play Hard Primary School,PASS,F,395.0,RENTAL,20.28,16.13,E
T0404219C,Play Hard Primary School,PASS,F,526.0,OWNED,15.32,9.59,E
T0404370H,Kiasu Parents Primary School,EXCEL,M,967.0,OWNED,12.11,5.75,E
T0404795Z,Play Hard Primary School,PASS,M,964.0,OWNED,24.56,16.82,E
T0405164I,Normal Primary School,PASS,M,501.0,OWNED,15.15,17.79,E
T0405211Z,Normal Primary School,PASS,F,750.0,OWNED,33.68,42.79,D
T0405416H,Normal Primary School,EXCEL,F,774.0,OWNED,38.62,68.22,A
T0405731F,Play Hard Primary School,PASS,M,937.0,OWNED,42.45,34.98,D
T0406519J,Normal Primary School,PASS,M,994.0,OWNED,38.66,59.5,B
T0406727C,Play Hard Primary School,EXCEL,F,293.0,RENTAL,24.32,36.01,C
T0406766H,Play Hard Primary School,PASS,M,259.0,RENTAL,18.69,16.38,E
T0406903H,Normal Primary School,PASS,M,308.0,RENTAL,15.86,17.77,E
T0407298E,Play Hard Primary School,PASS,M,894.0,OWNED,22.95,30.68,D
T0407452Z,Play Hard Primary School,EXCEL,M,628.0,OWNED,16.77,54.68,B
T0407562G,Normal Primary School,PASS,M,761.0,OWNED,47.15,35.45,E
T0407907Z,Normal Primary School,EXCEL,M,469.0,OWNED,21.14,34.67,D
T0407909A,Normal Primary School,PASS,M,657.0,OWNED,37.69,48.72,C
T0408287A,Kiasu Parents Primary School,EXCEL,F,535.0,OWNED,20.06,31.06,D
T0408316F,Normal Primary School,PASS,M,356.0,OWNED,40.51,48.08,C
T0408417Z,Play Hard Primary School,EXCEL,F,122.0,RENTAL,13.55,6.44,U
T0408820J,Kiasu Parents Primary School,EXCEL,M,660.0,OWNED,49.17,39.13,D
T0409106B,Play Hard Primary School,EXCEL,M,393.0,RENTAL,23.75,45.47,D
T0409261Z,Normal Primary School,EXCEL,M,503.0,OWNED,28.67,62.54,B
T0409646B,Kiasu Parents Primary School,PASS,F,671.0,OWNED,21.02,24.35,E
