School,NRIC,Programme,Session 1,Session 2,Session 3,Session 4,Session 5,Session 6,Session 7,Session 8,Session 9,Session 10,Session 11,Session 12,Session 13,Session 14,Session 15,Session 16,Session 17,Session 18,Session 19,Session 20
Kiasu Parents Primary School,T0404094C,EXCEL,P,P,P,P,P,P,P,P,,,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0404370H,EXCEL,P,P,P,P,P,P,,P,,P,P,,,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0408287A,EXCEL,,,P,P,P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0408820J,EXCEL,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0410971C,EXCEL,P,P,P,,P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0411306E,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,,P,P,P,P,,
Kiasu Parents Primary School,T0412942B,EXCEL,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0415272I,EXCEL,P,P,P,,,P,P,P,P,,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0415427J,EXCEL,P,P,P,P,P,P,P,P,P,P,P,,P,P,P,P,,P,P,P
Kiasu Parents Primary School,T0417555I,EXCEL,P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,,
Kiasu Parents Primary School,T0420994Z,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0422854F,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,
Kiasu Parents Primary School,T0424303E,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0424374J,EXCEL,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0428104D,EXCEL,P,P,P,P,P,P,P,,,P,P,P,P,P,P,P,P,P,P,P
Kiasu Parents Primary School,T0430856B,EXCEL,P,P,P,P,P,,P,P,P,P,,P,P,P,,P,P,P,P,P
Kiasu Parents Primary School,T0434672J,EXCEL,P,P,,P,P,P,P,P,P,,P,,P,P,,P,P,P,P,P
Kiasu Parents Primary School,T0438586I,EXCEL,P,P,P,P,P,P,P,P,P,P,,P,P,P,P,P,P,P,P,P
Normal Primary School,T0401624G,EXCEL,P,P,P,P,P,P,P,P,,,P,P,,,P,P,P,P,P,P
Normal Primary School,T0405416H,EXCEL,P,P,P,,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P
Normal Primary School,T0407907Z,EXCEL,P,,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,,,
Normal Primary School,T0409261Z,EXCEL,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,P,P
Normal Primary School,T0410146J,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Normal Primary School,T0410270I,EXCEL,P,P,P,P,P,P,P,P,P,,P,P,,P,,P,,P,,
Normal Primary School,T0417488H,EXCEL,P,,P,P,P,P,P,P,P,,P,,P,P,P,P,P,P,,P
Normal Primary School,T0417909Z,EXCEL,P,P,P,P,,,P,P,P,,P,P,P,P,,P,P,P,P,
Normal Primary School,T0425811J,EXCEL,P,P,P,P,P,P,P,,P,,P,P,P,P,P,P,P,P,,
Normal Primary School,T0426234A,EXCEL,P,P,P,P,,,P,P,P,P,P,P,P,P,P,P,P,P,,
Normal Primary School,T0426482G,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Normal Primary School,T0432143Z,EXCEL,P,P,P,P,P,,,,P,P,P,P,P,P,P,P,P,P,P,P
Normal Primary School,T0435550C,EXCEL,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Normal Primary School,T0436803E,EXCEL,,P,P,,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P
Normal Primary School,T0438895A,EXCEL,,,,,P,P,P,P,P,P,,P,P,P,P,P,P,P,P,P
Normal Primary School,T0439810G,EXCEL,,P,P,,P,P,P,P,P,P,P,P,,,,P,P,,P,P
Play Hard Primary School,T0401716B,EXCEL,P,P,P,P,P,P,P,P,P,,P,,,,,,,,,
Play Hard Primary School,T0402310E,EXCEL,P,P,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Play Hard Primary School,T0402514I,EXCEL,P,P,P,P,P,,P,P,P,P,P,,P,P,P,P,,,,
Play Hard Primary School,T0406727C,EXCEL,P,P,P,P,P,P,P,,P,P,P,P,,,,,,P,,
Play Hard Primary School,T0407452Z,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,P,P,,
Play Hard Primary School,T0408417Z,EXCEL,P,P,P,P,P,P,P,,P,P,,,,,,,,,,
Play Hard Primary School,T0409106B,EXCEL,P,P,P,,P,P,P,P,,P,P,P,P,P,P,,,,,
Play Hard Primary School,T0413356B,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,
Play Hard Primary School,T0415421C,EXCEL,P,P,,,P,,P,P,P,P,,,,P,P,P,P,P,P,P
Play Hard Primary School,T0417308A,EXCEL,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P
Play Hard Primary School,T0418916C,EXCEL,,P,P,,P,P,,P,P,P,P,P,P,,,,,,,
Play Hard Primary School,T0420303G,EXCEL,,,,P,P,P,P,P,P,P,P,,P,P,P,,P,P,P,P
Play Hard Primary School,T0421767C,EXCEL,P,P,P,P,P,P,P,P,P,P,P,,P,,,,,,,
Play Hard Primary School,T0426231E,EXCEL,P,,P,P,P,P,P,P,P,P,P,P,P,,,,,,,
Play Hard Primary School,T0428113E,EXCEL,P,P,P,P,,P,P,P,,,P,P,P,P,,P,P,,,
Play Hard Primary School,T0432774H,EXCEL,P,P,,P,,P,,,P,P,,,,P,,P,,P,P,P
Play Hard Primary School,T0434198I,EXCEL,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Play Hard Primary School,T0436284E,EXCEL,P,P,,,P,P,,P,P,,P,P,P,,,P,P,P,P,P
Play Hard Primary School,T0439539Z,EXCEL,P,P,P,P,,P,P,P,P,P,,P,P,,P,P,P,,,P
