School,NRIC,Programme,2014_Result,2015_Result,PSLE_Result
Kiasu Parents Primary School,T0402468D,PASS,21.39,20.73,D
Kiasu Parents Primary School,T0404094C,EXCEL,47.23,56.51,B
Kiasu Parents Primary School,T0404370H,EXCEL,12.11,5.75,E
Kiasu Parents Primary School,T0408287A,EXCEL,20.06,31.06,D
Kiasu Parents Primary School,T0408820J,EXCEL,49.17,39.13,D
Kiasu Parents Primary School,T0409646B,PASS,21.02,24.35,E
Kiasu Parents Primary School,T0410971C,EXCEL,34.71,55.35,B
Kiasu Parents Primary School,T0411306E,EXCEL,14.64,33.86,D
Kiasu Parents Primary School,T0412942B,EXCEL,35.06,57.07,B
Kiasu Parents Primary School,T0413377I,PASS,27.13,38.91,D
Kiasu Parents Primary School,T0413411A,PASS,30.27,35.63,D
Kiasu Parents Primary School,T0414246A,PASS,30.55,45.76,D
Kiasu Parents Primary School,T0414627Z,PASS,40.95,38.99,D
Kiasu Parents Primary School,T0415272I,EXCEL,35.21,33.76,D
Kiasu Parents Primary School,T0415357J,PASS,47.98,31.09,D
Kiasu Parents Primary School,T0415427J,EXCEL,45.54,42.78,C
Kiasu Parents Primary School,T0417555I,EXCEL,26.90,22.2,E
Kiasu Parents Primary School,T0417766G,PASS,48.24,50.83,B
Kiasu Parents Primary School,T0419425J,PASS,14.92,9.72,U
Kiasu Parents Primary School,T0420016C,PASS,42.21,20.33,E
Kiasu Parents Primary School,T0420131Z,PASS,45.62,41.09,D
Kiasu Parents Primary School,T0420377G,PASS,31.69,33.48,D
Kiasu Parents Primary School,T0420994Z,EXCEL,43.04,57.78,B
Kiasu Parents Primary School,T0422487A,PASS,20.62,12.95,U
Kiasu Parents Primary School,T0422854F,EXCEL,24.74,42.07,C
Kiasu Parents Primary School,T0424028B,PASS,33.37,18.45,U
Kiasu Parents Primary School,T0424303E,EXCEL,39.12,58.66,B
Kiasu Parents Primary School,T0424374J,EXCEL,41.24,76.67,A
Kiasu Parents Primary School,T0428104D,EXCEL,39.59,44.36,D
